         f    U [m_pi^4]
0            0
0.00219027  -1.30915e-05
0.00390967  -3.65494e-05
0.00552437  -6.51445e-05
0.00708227  -9.77018e-05
0.00860316  -0.000133388
0.0100976   -0.000171707
0.0115719   -0.000212287
0.0130305   -0.000254855
0.0144763   -0.000299194
0.0159115   -0.00034513
0.0173377   -0.000392518
0.0187563   -0.000441239
0.0201682   -0.000491189
0.0215742   -0.000542279
0.0229751   -0.00059443
0.0243712   -0.000647571
0.0257631   -0.000701641
0.0271511   -0.000756581
0.0285354   -0.000812337
0.0299164   -0.000868861
0.0312942   -0.000926106
0.0326689   -0.000984027
0.0340407   -0.00104258
0.0354098   -0.00110173
0.0367761   -0.00116142
0.0381398   -0.00122163
0.0395008   -0.00128232
0.0408592   -0.00134343
0.042215    -0.00140494
0.0435683   -0.0014668
0.0449189   -0.00152897
0.0462669   -0.00159142
0.0476123   -0.0016541
0.048955    -0.00171697
0.0502949   -0.00177999
0.0516321   -0.00184311
0.0529664   -0.00190629
0.0542979   -0.00196948
0.0556264   -0.00203264
0.0569518   -0.00209572
0.0582742   -0.00215868
0.0595934   -0.00222145
0.0609093   -0.00228399
0.0622219   -0.00234625
0.0635311   -0.00240817
0.0648368   -0.0024697
0.0661388   -0.00253078
0.0674372   -0.00259136
0.0687317   -0.00265137
0.0700224   -0.00271077
0.0713096   -0.00276951
0.0725933   -0.00282755
0.0738736   -0.00288481
0.0751503   -0.00294133
0.0764235   -0.00299697
0.077693    -0.00305172
0.0789588   -0.00310551
0.0802209   -0.0031583
0.0814792   -0.00321003
0.0827336   -0.00326066
0.0839841   -0.00331013
0.0852305   -0.00335839
0.0864729   -0.00340537
0.0877112   -0.00345104
0.0889452   -0.00349533
0.090175    -0.0035382
0.0914005   -0.00357957
0.0926215   -0.00361941
0.0938381   -0.00365766
0.0950501   -0.00369425
0.0962575   -0.00372914
0.0974602   -0.00376227
0.0986581   -0.00379357
0.0998512   -0.00382301
0.101039    -0.00385052
0.102223    -0.00387604
0.103401    -0.00389952
0.104574    -0.00392091
0.105742    -0.00394014
0.106904    -0.00395717
0.108061    -0.00397193
0.109213    -0.00398438
0.110359    -0.00399446
0.1115      -0.00400212
0.112635    -0.00400729
0.113764    -0.00400994
0.114887    -0.00401
0.116005    -0.00400743
0.117116    -0.00400217
0.118221    -0.00399418
0.119321    -0.00398339
0.120414    -0.00396978
0.1215      -0.00395328
0.122581    -0.00393384
0.123654    -0.00391144
0.124722    -0.00388601
0.125782    -0.00385752
0.126836    -0.00382592
0.127883    -0.00379117
0.128924    -0.00375321
0.129961    -0.00371191
0.130995    -0.00366725
0.132027    -0.00361919
0.133055    -0.00356772
0.134081    -0.00351283
0.135104    -0.00345447
0.136125    -0.00339272
0.137143    -0.00332748
0.138159    -0.00325876
0.139172    -0.00318654
0.140183    -0.00311082
0.141192    -0.00303158
0.142199    -0.00294882
0.143204    -0.00286251
0.144207    -0.00277265
0.145208    -0.00267922
0.146207    -0.00258222
0.147204    -0.00248164
0.1482      -0.00237746
0.149194    -0.00226967
0.150186    -0.00215826
0.151178    -0.00204324
0.152167    -0.00192457
0.153156    -0.00180226
0.154143    -0.00167629
0.155129    -0.00154667
0.156114    -0.00141336
0.157098    -0.00127638
0.158081    -0.00113571
0.159064    -0.000991339
0.160045    -0.000843261
0.161026    -0.000691467
0.162006    -0.000535948
0.162986    -0.000376699
0.163965    -0.000213709
0.164944    -4.6971e-05
0.165922     0.000123522
0.1669       0.00029778
0.167878     0.000475814
0.168856     0.000657615
0.169834     0.000843208
0.170812     0.00103259
0.17179      0.00122578
0.172768     0.00142278
0.173747     0.00162358
0.174726     0.00182821
0.175705     0.00203667
0.176685     0.00224897
0.177665     0.0024651
0.178645     0.00268483
0.179622     0.00290766
0.180596     0.00313354
0.181568     0.00336248
0.182536     0.00359446
0.183501     0.00382951
0.184463     0.00406762
0.185422     0.00430878
0.186378     0.00455301
0.187331     0.0048003
0.18828      0.00505065
0.189227     0.00530407
0.19017      0.00556054
0.19111      0.00582008
0.192047     0.00608268
0.19298      0.00634833
0.19391      0.00661705
0.194837     0.00688881
0.19576      0.00716363
0.19668      0.0074415
0.197597     0.00772241
0.19851      0.00800636
0.19942      0.00829335
0.200326     0.00858337
0.201228     0.00887642
0.202127     0.00917249
0.203023     0.00947157
0.203915     0.00977366
0.204803     0.0100788
0.205688     0.0103868
0.206569     0.0106979
0.207446     0.0110119
0.20832      0.0113289
0.209189     0.0116489
0.210055     0.0119718
0.210918     0.0122976
0.211776     0.0126264
0.21263      0.0129581
0.213481     0.0132926
0.214328     0.0136301
0.21517      0.0139704
0.216009     0.0143136
0.216844     0.0146596
0.217675     0.0150084
0.218501     0.01536
0.219324     0.0157144
0.220142     0.0160716
0.220957     0.0164315
0.221767     0.0167942
0.222573     0.0171595
