1.824421  1.824399  1.825153  1.826906  1.829909  1.834616  1.841373  1.848594  1.855676  1.861631  1.867201  1.870735  1.874195  1.876564  1.878014  1.879776  1.880464  1.881123  1.881563  1.881884  
1.824453  1.824420  1.825156  1.826929  1.829909  1.834635  1.841388  1.848594  1.855676  1.861631  1.867201  1.870735  1.874195  1.876564  1.878014  1.879776  1.880464  1.881123  1.881563  1.881884  
1.824489  1.824486  1.825181  1.826961  1.829923  1.834627  1.841388  1.848594  1.855676  1.861631  1.867201  1.870735  1.874195  1.876564  1.878014  1.879776  1.880464  1.881123  1.881563  1.881884  
1.824560  1.824585  1.825236  1.826976  1.829945  1.834652  1.841384  1.848589  1.855676  1.861644  1.867201  1.870735  1.874195  1.876564  1.878014  1.879776  1.880464  1.881123  1.881563  1.881884  
1.824332  1.824858  1.825518  1.826568  1.830071  1.834754  1.841407  1.848606  1.855677  1.861645  1.867194  1.870735  1.874195  1.876564  1.878014  1.879776  1.880464  1.881123  1.881563  1.881884  
1.824872  1.825082  1.825636  1.827129  1.830414  1.834868  1.841492  1.848650  1.855691  1.861645  1.867194  1.870735  1.874195  1.876564  1.878014  1.879776  1.880464  1.881123  1.881563  1.881884  
1.825699  1.826160  1.826596  1.827713  1.830623  1.835244  1.841668  1.848719  1.855713  1.861642  1.867195  1.870735  1.874196  1.876564  1.878014  1.879776  1.880464  1.881123  1.881563  1.881884  
1.828071  1.827904  1.828729  1.829942  1.831861  1.836235  1.842167  1.848885  1.855789  1.861660  1.867213  1.870735  1.874196  1.876564  1.878014  1.879776  1.880464  1.881123  1.881563  1.881884  
1.832320  1.832339  1.832298  1.833360  1.834837  1.837839  1.843309  1.849294  1.855896  1.861704  1.867215  1.870751  1.874196  1.876564  1.878014  1.879776  1.880464  1.881123  1.881563  1.881884  
1.838484  1.838561  1.838501  1.838982  1.839684  1.841809  1.845025  1.850773  1.856272  1.861863  1.867265  1.870747  1.874196  1.876564  1.878014  1.879776  1.880464  1.881123  1.881563  1.881884  
1.845715  1.845762  1.845805  1.846012  1.846356  1.846878  1.849246  1.852815  1.857137  1.862153  1.867395  1.870763  1.874212  1.876565  1.878015  1.879776  1.880464  1.881123  1.881563  1.881884  
1.853197  1.853212  1.853217  1.853291  1.853452  1.853848  1.854539  1.856438  1.859557  1.863446  1.867583  1.870819  1.874475  1.876416  1.878015  1.879776  1.880465  1.881123  1.881563  1.881884  
1.860001  1.860001  1.860021  1.860010  1.860066  1.860231  1.860505  1.861246  1.862440  1.865107  1.868184  1.870998  1.874531  1.876451  1.878021  1.879776  1.880465  1.881123  1.881563  1.881884  
1.865283  1.865283  1.865301  1.865277  1.865315  1.865349  1.865433  1.865703  1.866233  1.867461  1.869238  1.872116  1.874676  1.876482  1.878023  1.879777  1.880465  1.881123  1.881563  1.881884  
1.870073  1.870073  1.870073  1.870073  1.870073  1.870091  1.870117  1.870193  1.870384  1.870744  1.871566  1.873030  1.874970  1.876609  1.878038  1.879780  1.880474  1.881137  1.881563  1.881884  
1.873423  1.873423  1.873423  1.873423  1.873437  1.873434  1.873435  1.873449  1.873503  1.873641  1.873946  1.874562  1.875514  1.876969  1.878111  1.879780  1.880484  1.881138  1.881563  1.881884  
1.875809  1.875809  1.875809  1.875809  1.875809  1.875809  1.875809  1.875827  1.875846  1.875886  1.875962  1.876198  1.876692  1.877412  1.878971  1.879838  1.880487  1.881142  1.881563  1.881884  
1.877483  1.877483  1.877483  1.877483  1.877483  1.877483  1.877483  1.877478  1.877478  1.877491  1.877520  1.877564  1.878393  1.878753  1.879285  1.879943  1.880632  1.881153  1.881563  1.881885  
1.879364  1.879364  1.879364  1.879364  1.879364  1.879364  1.879364  1.879365  1.879365  1.879365  1.879375  1.879396  1.879450  1.879553  1.879788  1.880117  1.880709  1.881198  1.881565  1.881885  
1.880301  1.880301  1.880301  1.880301  1.880301  1.880301  1.880301  1.880301  1.880301  1.880302  1.880302  1.880303  1.880321  1.880349  1.880432  1.880591  1.880830  1.881255  1.881578  1.881899  
