0.000E+000	     0.000E+000
9.270E-002	    -3.068E-001
2.697E-001	    -7.500E-001
4.129E-001	    -1.227E+000
5.730E-001	    -1.602E+000
7.500E-001	    -1.909E+000
9.522E-001	    -1.977E+000
1.138E+000	    -1.636E+000
1.247E+000	    -1.057E+000
1.340E+000	    -3.750E-001
1.407E+000	     2.386E-001
1.466E+000	     1.023E+000
1.525E+000	     1.875E+000
1.567E+000	     2.693E+000
1.643E+000	     3.545E+000
1.702E+000	     4.295E+000
1.787E+000	     5.148E+000
1.862E+000	     5.864E+000
2.006E+000	     7.227E+000
2.140E+000	     8.352E+000
2.301E+000	     9.682E+000
2.419E+000	     1.067E+001
2.511E+000	     1.149E+001
2.621E+000	     1.214E+001
2.688E+000	     1.272E+001
2.756E+000	     1.316E+001
