-30.000000   2.621641  7.144473  0.000000  0.000000  2.721704  0.000000  
-28.947368   2.641654  7.124460  0.000000  0.000000  2.701691  0.000000  
-27.894737   2.661666  7.124460  0.000000  0.000000  2.681679  0.000000  
-26.842105   2.741716  7.124460  0.000000  0.000000  2.681679  0.000000  
-25.789474   2.861792  7.124460  0.000000  0.000000  2.681679  0.000000  
-24.736842   2.981867  7.124460  0.000000  0.000000  2.681679  0.000000  
-23.684211   3.121955  7.124460  0.000000  0.000000  2.681679  0.000000  
-22.631579   3.262042  7.124460  0.000000  0.000000  2.681679  0.000000  
-21.578947   3.402130  7.124460  0.000000  0.000000  2.681679  0.000000  
-20.526316   3.542218  7.124460  0.000000  0.000000  2.681679  0.000000  
-19.473684   3.682305  7.124460  0.000000  0.000000  2.681679  0.000000  
-18.421053   3.802381  7.124460  0.000000  0.000000  2.681679  0.000000  
-17.368421   3.942468  7.124460  0.000000  0.000000  2.681679  0.000000  
-16.315789   4.062543  7.124460  0.000000  0.000000  2.681679  0.000000  
-15.263158   4.202631  7.124460  0.000000  0.000000  2.681679  0.000000  
-14.210526   4.342719  7.144473  0.000000  0.000000  2.681679  0.000000  
-13.157895   4.462794  7.144473  0.000000  0.000000  2.681679  0.000000  
-12.105263   4.602882  7.144473  0.000000  0.000000  2.681679  0.000000  
-11.052632   4.742969  7.144473  0.000000  0.000000  2.681679  0.000000  
-10.000000   4.883057  7.144473  0.000000  0.000000  2.681679  0.000000  
