  n/n_0       f_s       f_o        f_r
    0    1.2637    1.26139   1.75892
    0.1  1.22197   1.22164   1.66235
    0.2  1.18267   1.18391   1.57107
    0.3  1.1471    1.14936   1.48481
    0.4  1.11573   1.11847   1.40329
    0.5  1.08847   1.09126   1.32624
    0.6  1.06498   1.06751   1.25343
    0.7  1.04483   1.04687   1.18461
    0.8  1.02755   1.02897   1.11956
    0.9  1.01272   1.01344   1.05809
    1    0.999961  0.999952  1
    1.1  0.988946  0.988207  0.945095
    1.2  0.979401  0.977951  0.893204
    1.3  0.971097  0.968965  0.844163
    1.4  0.963842  0.961065  0.797814
    1.5  0.957477  0.954095  0.75401
    1.6  0.95187   0.947923  0.712611
    1.7  0.946911  0.942438  0.673485
    1.8  0.942509  0.937548  0.636507
    1.9  0.938585  0.933172  0.601559
    2    0.935076  0.929245  0.568531
    2.1  0.931927  0.925709  0.537315
    2.2  0.929092  0.922516  0.507814
    2.3  0.926531  0.919624  0.479932
    2.4  0.924211  0.916997  0.453582
    2.5  0.922104  0.914606  0.428678
    2.6  0.920185  0.912422  0.405141
    2.7  0.918432  0.910425  0.382897
    2.8  0.916828  0.908592  0.361874
    2.9  0.915356  0.906908  0.342005
    3    0.914002  0.905356  0.323227
    3.1  0.912754  0.903924  0.30548
    3.2  0.911602  0.9026    0.288708
    3.3  0.910536  0.901373  0.272856
    3.4  0.909548  0.900234  0.257875
    3.5  0.908631  0.899176  0.243716
    3.6  0.907777  0.89819   0.230335
    3.7  0.906982  0.89727   0.217689
    3.8  0.906241  0.896411  0.205736
    3.9  0.905547  0.895608  0.19444
    4    0.904899  0.894856  0.183765
    4.1  0.904291  0.89415   0.173675
    4.2  0.90372   0.893487  0.164139
    4.3  0.903184  0.892864  0.155127
    4.4  0.90268   0.892277  0.14661
    4.5  0.902205  0.891724  0.13856
    4.6  0.901758  0.891202  0.130953
    4.7  0.901335  0.890709  0.123763
    4.8  0.900936  0.890243  0.116967
    4.9  0.900558  0.889802  0.110545
    5    0.9002    0.889384  0.104476
    5.1  0.899861  0.888988  0.0987395
    5.2  0.89954   0.888612  0.0933182
    5.3  0.899235  0.888255  0.0881946
    5.4  0.898945  0.887915  0.0833522
    5.5  0.898669  0.887592  0.0787758
    5.6  0.898406  0.887284  0.0744506
    5.7  0.898156  0.886991  0.0703628
    5.8  0.897918  0.886711  0.0664996
    5.9  0.89769   0.886445  0.0628484
    6    0.897473  0.88619   0.0593977
    6.1  0.897266  0.885946  0.0561364
    6.2  0.897067  0.885713  0.0530543
    6.3  0.896878  0.88549   0.0501413
    6.4  0.896696  0.885277  0.0473883
    6.5  0.896522  0.885072  0.0447864
    6.6  0.896356  0.884876  0.0423274
    6.7  0.896196  0.884688  0.0400034
    6.8  0.896042  0.884508  0.037807
    6.9  0.895895  0.884334  0.0357312
    7    0.895754  0.884168  0.0337694
    7.1  0.895618  0.884008  0.0319153
    7.2  0.895487  0.883854  0.030163
    7.3  0.895362  0.883706  0.0285069
    7.4  0.895241  0.883563  0.0269417
    7.5  0.895124  0.883426  0.0254625
    7.6  0.895012  0.883293  0.0240644
    7.7  0.894904  0.883166  0.0227432
    7.8  0.894799  0.883042  0.0214945
    7.9  0.894699  0.882924  0.0203143
