0.0	0.0
0.0121789	-4.01268
0.0199663	-6.40534
0.0298573	-9.23960
0.0424813	-12.4049
0.0540518	-15.0546
0.0685652	-17.9986
0.0801344	-20.4274
0.0950627	-22.4872
0.110830	-24.3259
0.127435	-25.6488
0.145507	-26.4558
0.160213	-26.6004
0.175966	-26.0450
0.192557	-25.0475
0.206626	-23.9031
0.220271	-22.1695
0.232865	-20.3256
0.248185	-17.6340
0.260563	-14.9061
0.272731	-11.9941
0.282590	-9.48772
0.292028	-6.87089
0.299788	-4.69636
0.307126	-2.26408
0.314883	0.426105
0.324110	3.33755
0.331026	6.10124
0.340038	9.63880
0.349889	13.5817
0.359110	17.3403
0.366651	20.9144
0.375031	24.8938
0.381315	27.9152
0.388438	31.3051
0.394513	34.2528
0.399959	36.9057
0.405823	40.0375
