0.207938 0.017761 0.008982 0.004121 0.694977 0.006554 
0.215751 0.019054 0.009680 0.004428 0.720024 0.006980 
0.223563 0.020389 0.010406 0.004744 0.744997 0.007416 
0.231376 0.021765 0.011158 0.005071 0.769898 0.007864 
0.239189 0.023182 0.011937 0.005407 0.794726 0.008323 
0.247001 0.024640 0.012744 0.005753 0.819481 0.008794 
0.254814 0.026138 0.013578 0.006108 0.844165 0.009275 
0.262627 0.027677 0.014439 0.006473 0.868778 0.009767 
0.270440 0.029255 0.015327 0.006847 0.893319 0.010271 
0.278252 0.030873 0.016243 0.007230 0.917789 0.010785 
0.286065 0.032531 0.017186 0.007623 0.942189 0.011310 
0.293878 0.034227 0.018157 0.008024 0.966520 0.011846 
0.301690 0.035963 0.019156 0.008433 0.990780 0.012392 
0.309503 0.037738 0.020182 0.008852 1.014971 0.012950 
0.317316 0.039551 0.021236 0.009279 1.039094 0.013517 
0.325128 0.041402 0.022318 0.009714 1.063148 0.014096 
0.332941 0.043291 0.023428 0.010157 1.087133 0.014685 
0.340754 0.045219 0.024566 0.010608 1.111051 0.015285 
0.348567 0.047184 0.025732 0.011067 1.134901 0.015895 
0.356379 0.049186 0.026926 0.011534 1.158684 0.016515 
0.364192 0.051226 0.028148 0.012008 1.182400 0.017146 
0.372005 0.053303 0.029399 0.012490 1.206050 0.017788 
0.379817 0.055417 0.030678 0.012979 1.229633 0.018440 
0.387630 0.057568 0.031985 0.013475 1.253151 0.019102 
0.395443 0.059755 0.033321 0.013978 1.276603 0.019774 
0.403255 0.061979 0.034685 0.014488 1.299989 0.020457 
0.411068 0.064239 0.036078 0.015004 1.323311 0.021150 
0.418881 0.066535 0.037500 0.015527 1.346568 0.021854 
0.426694 0.068866 0.038950 0.016056 1.369762 0.022567 
0.434506 0.071234 0.040429 0.016592 1.392891 0.023291 
0.442319 0.073637 0.041937 0.017133 1.415956 0.024025 
0.450132 0.076075 0.043474 0.017680 1.438958 0.024770 
0.457944 0.078548 0.045040 0.018233 1.461897 0.025524 
0.465757 0.081057 0.046635 0.018791 1.484774 0.026289 
0.473570 0.083600 0.048259 0.019355 1.507588 0.027063 
0.481382 0.086178 0.049913 0.019924 1.530340 0.027848 
0.489195 0.088790 0.051595 0.020498 1.553030 0.028643 
0.497008 0.091437 0.053307 0.021078 1.575659 0.029448 
0.504821 0.094117 0.055049 0.021661 1.598227 0.030263 
0.512633 0.096832 0.056819 0.022250 1.620734 0.031088 
0.520446 0.099580 0.058620 0.022843 1.643180 0.031924 
0.528259 0.102362 0.060450 0.023440 1.665567 0.032769 
0.536071 0.105177 0.062309 0.024041 1.687893 0.033624 
0.543884 0.108026 0.064198 0.024647 1.710160 0.034489 
0.551697 0.110907 0.066117 0.025256 1.732368 0.035365 
0.559509 0.113822 0.068066 0.025869 1.754517 0.036250 
0.567322 0.116769 0.070044 0.026485 1.776607 0.037145 
0.575135 0.119748 0.072053 0.027105 1.798639 0.038051 
0.582948 0.122760 0.074091 0.027728 1.820613 0.038966 
0.590760 0.125804 0.076160 0.028355 1.842530 0.039891 
0.598573 0.128880 0.078258 0.028984 1.864389 0.040826 
0.606386 0.131988 0.080387 0.029616 1.886191 0.041772 
0.614198 0.135127 0.082546 0.030251 1.907937 0.042727 
0.622011 0.138297 0.084735 0.030888 1.929626 0.043692 
0.629824 0.141499 0.086955 0.031528 1.951259 0.044666 
0.637636 0.144732 0.089205 0.032170 1.972837 0.045651 
0.645449 0.147995 0.091485 0.032814 1.994359 0.046646 
0.653262 0.151289 0.093796 0.033460 2.015826 0.047651 
0.661075 0.154613 0.096137 0.034108 2.037238 0.048665 
0.668887 0.157967 0.098509 0.034758 2.058596 0.049690 
0.676700 0.161352 0.100912 0.035409 2.079900 0.050724 
0.684513 0.164766 0.103345 0.036062 2.101151 0.051768 
0.692325 0.168209 0.105809 0.036717 2.122348 0.052822 
0.700138 0.171682 0.108304 0.037372 2.143492 0.053886 
0.707951 0.175184 0.110830 0.038029 2.164583 0.054960 
0.715763 0.178715 0.113387 0.038686 2.185622 0.056044 
0.723576 0.182274 0.115974 0.039344 2.206609 0.057137 
0.731389 0.185862 0.118593 0.040004 2.227544 0.058241 
0.739202 0.189478 0.121243 0.040663 2.248427 0.059354 
0.747014 0.193122 0.123924 0.041324 2.269260 0.060477 
0.754827 0.196794 0.126636 0.041984 2.290042 0.061610 
0.762640 0.200493 0.129379 0.042645 2.310774 0.062752 
0.770452 0.204219 0.132153 0.043306 2.331456 0.063905 
0.778265 0.207973 0.134959 0.043968 2.352088 0.065067 
0.786078 0.211754 0.137796 0.044629 2.372671 0.066239 
0.793890 0.215561 0.140665 0.045290 2.393205 0.067421 
0.801703 0.219394 0.143565 0.045951 2.413690 0.068613 
0.809516 0.223254 0.146496 0.046611 2.434128 0.069815 
0.817329 0.227139 0.149459 0.047271 2.454517 0.071026 
0.825141 0.231050 0.152454 0.047930 2.474858 0.072247 
0.832954 0.234986 0.155480 0.048589 2.495153 0.073478 
0.840767 0.238948 0.158538 0.049247 2.515400 0.074719 
0.848579 0.242935 0.161628 0.049905 2.535601 0.075969 
0.856392 0.246946 0.164749 0.050561 2.555756 0.077229 
0.864205 0.250981 0.167903 0.051217 2.575865 0.078499 
0.872017 0.255041 0.171088 0.051871 2.595929 0.079779 
0.879830 0.259125 0.174305 0.052524 2.615948 0.081068 
0.887643 0.263232 0.177554 0.053176 2.635921 0.082367 
0.895456 0.267363 0.180835 0.053827 2.655851 0.083676 
0.903268 0.271517 0.184148 0.054476 2.675736 0.084995 
